id,description,alternativeDescription,city,province,cap,address,phone,piva,notes,mail,sector_id
2222,"ISTITUTO PIA SOC. FIGLIE S. PAOLO",,NULL,NULL,,,,NULL,direzionehr@paoline.it,direzionehr@paoline.it,10
2223,"ISTITUTO VIGILANZA METROPOLITANA SRL",,NULL,NULL,,"VIA DELLE ALZAVOLE,5100169 ROMA  (RM)",,,IVM@MESSAGGIPEC.IT,IVM@MESSAGGIPEC.IT,17
2224,"ITACA RISTORAZIONE E SERVIZI S.R.L.",,NULL,NULL,,"VIA DELLA TECNICA,300030 SAN CESAREO (RM)",,,,itacaristorazioneeservizi@legalmail.it,13
2225,"ITAL UIL",,NULL,NULL,,,,NULL,amministrazione@pec.italuil.it,amministrazione@pec.italuil.it,1
2226,"ITALIAN FACILITY GROUP S.R.L.",,Milano,Milano,,"COLOGNO MONZESE (MI)V.LE SPAGNA 62",,,italianfacilitygroup@legalmail.it,italianfacilitygroup@legalmail.it,15
2227,"ITALPOL SERVIZI FIDUCIARI S.R.L.",,Roma,Roma,,,,,,amministrazione@pec.italpolservizifiduciari.it,15
2228,"ITALPOL VIGILANZA SRL",,Roma,Roma,"00166 ","Via Monte Carmelo, 3",,,ITALPOLVIGILANZA@LEGALMAIL.IT,ITALPOLVIGILANZA@LEGALMAIL.IT,17
2229,"ITALSERVIZI 2007 SRL",,NULL,NULL,,"Via Monte Carmelo, 300186 Roma (RM)",,,ITALSERVIZI2007@LEGALMAIL.IT,ITALSERVIZI2007@LEGALMAIL.IT,15
2230,"ITTICA 2EMME SRLS",,NULL,NULL,,,,NULL,ittica2emme@pec.it,ittica2emme@pec.it,10
2231,"IULIA SRL",,NULL,NULL,,,,NULL,iuliasrl249@pec.it,iuliasrl249@pec.it,16
2232,"IVS GROUP SA",,NULL,NULL,,"Via dell'Artigianato, 25
Seriate, BG",0257523130,NULL,ivsgroupcertifiedmail@postacertificata.com,ivsgroupcertifiedmail@postacertificata.com,10
2233,"IVS ITALIA S.P.A.",,NULL,NULL,,"Via dell'Artigianato, 25
24068 Seriate (BG)",,NULL,PEC.IVSITALIA@IVSITALIA.IT,PEC.IVSITALIA@IVSITALIA.IT,10
2234,"JOINT BILLION ITALY COMPANY SRL",,Roma,Roma,00100,,,,,jointbillionitalysrl@pec.it,16
2235,"JOULE S.R.L.",,Monastir,Cagliari,09023,"S.S. KM 15200  LOC. SU FRAIGU",,,JOULESRL@PECPVS.IT,JOULESRL@PECPVS.IT,10
2236,"KARATTI SRL",,NULL,NULL,,"VIA PORTOGRUARO 7  00182 ROMA RM",,NULL,KARATTI@PEC.IT,KARATTI@PEC.IT,10
2237,"KASANOVA S.P.A.",,NULL,NULL,,"VIALE MONTE ROSA 91
20862 ARCORE MB",,NULL,kasanovaspa@pec.kasanova.it,kasanovaspa@pec.kasanova.it,10
2238,"KEY PARTNER S.R.L.",,NULL,NULL,,,,NULL,KEYPARTNER@PEC.IT,KEYPARTNER@PEC.IT,10
2239,"KORIAN S.R.L.",,NULL,NULL,,,,NULL,IMMOBILIAREMARINADISORSO.SRL@LEGALMAIL.IT,IMMOBILIAREMARINADISORSO.SRL@LEGALMAIL.IT,10
2240,"LA MIMOSA S.R.L.",,NULL,NULL,,,,,LAMIMOSAINLIQSRL@LEGALMAIL.IT,LAMIMOSAINLIQSRL@LEGALMAIL.IT,10
2241,"LA RINASCENTE S.P.A.",,NULL,NULL,,,,NULL,RINASCENTE@PEC.IT,RINASCENTE@PEC.IT,12
2242,"LA TORRE ISTITUTO DI VIGILANZA S.R.L.",,NULL,NULL,,"VIA ACQUASANTA 15 
84131 SALERNO (SA)",,NULL,vigilanzalatorre@pec.it,vigilanzalatorre@pec.it,17
2243,"LADISA S.R.L.",,Bari,Bari,,"Via Guglielmo Lindemann, 5/3 -5/4 70132 Bari (BA)",,,ladisa.ristorazione@legalmail.it,ladisa.ristorazione@legalmail.it,13
2244,"LAGARDERE TRAVEL RETAIL ITALIA S.R.L.",,Marcon,Venezia,30020,"Via Fratelli Bandiera 73",0665955570,,,lagarderetritalia@legalmail.it,16
2245,"LE MILLE E UNA NOTTE COOP.SOC.",,NULL,NULL,,,,NULL,LEMILLEEUNANOTTE@PEC.IT,LEMILLEEUNANOTTE@PEC.IT,18
2246,"L'ELETTRICA DI PAOLO & M. S.R.L.",,NULL,NULL,,"VIA GREGORIO XI, 20
00166 ROMA (RM)",,NULL,LELETTRICADIPAOLO@PEC.IT,LELETTRICADIPAOLO@PEC.IT,1
2247,"LIDL ITALIA S.R.L.",,NULL,NULL,,"VIA CANGIANO, 2 03012 ANAGNI (FR)",,,lidl_italia@legalmail.it,lidl_italia@legalmail.it,12
2248,"LIGURIA OPCO S.R.L.",,NULL,NULL,,"VIA LIGURIA 36",,NULL,LIGURIA.OPCO@LEGALMAIL.IT,LIGURIA.OPCO@LEGALMAIL.IT,8
2249,"LINDT & SPRÜNGLI S.P.A.",,NULL,NULL,,"L.GO EDOARDO BULGHERONI 1   21056  INDUNO OLONA (VA)",,,,lindthr@certimprese.it,10
2250,"LINK FINANZIARIA S.P.A.",,NULL,NULL,,,,NULL,LINKFINANZIARIA@LEGALMAIL.IT,LINKFINANZIARIA@LEGALMAIL.IT,10
2251,"LIS HOLDING S.P.A.",,NULL,NULL,,"V.LE CAMPO BOARIO 14   00154 ROMA RM",,NULL,LISHOLDING@PEC.LISHOLDING.IT,LISHOLDING@PEC.LISHOLDING.IT,10
2252,"LOCAM GESTIONI S.R.L.",,NULL,NULL,,,,NULL,LOCAMGESTIONISRL@LEGALMAIL.IT,LOCAMGESTIONISRL@LEGALMAIL.IT,10
2253,"LOIACONO E BRILLA LOGISTICA SRL",,NULL,NULL,,,,NULL,LOIACONOEBRILLA.LOGISTICASRL@PEC.IT,LOIACONOEBRILLA.LOGISTICASRL@PEC.IT,18
2254,"LS TRAVEL RETAIL ROMA S.R.L.",,NULL,NULL,,,,NULL,LSTR@LEGALMAIL.IT,LSTR@LEGALMAIL.IT,10
2255,"LTD MARKET S.R.L.",,NULL,NULL,,"VIA BOLGHERI 73   00148  ROMA RM",,NULL,ltdmarketsrl@legalmail.it,ltdmarketsrl@legalmail.it,10
2256,"LUCANA SERVIZI S.R.L.",,Roma,Roma,,,,,AMMINISTRAZIONE@PEC.LUCANASERVIZI.IT,AMMINISTRAZIONE@PEC.LUCANASERVIZI.IT,3
2257,"LUCCI SALVINA S.R.L.",,NULL,NULL,,,,NULL,LUCCI.SAS@PEC.IT,LUCCI.SAS@PEC.IT,8
2258,"LUISA VIA ROMA",,NULL,NULL,,,,NULL,AMMINISTRAZIONE@PEC.LUISAVIAROMA.IT,AMMINISTRAZIONE@PEC.LUISAVIAROMA.IT,10
2259,"LUONGO SECURITY SRL",,NULL,NULL,,"VIA DI TORREVECCHIA, 901
00168 ROMA (RM)",,NULL,MAIL@PEC.LUONGOSECURITY.COM,MAIL@PEC.LUONGOSECURITY.COM,17
2260,"LUSH ITALIA S.R.L.",,NULL,NULL,,"VIA ATTO VANNUCCI 20135 MILANO (MI)",,NULL,LUSHMILANO@PEC.IT,LUSHMILANO@PEC.IT,10
2261,"LVMH PROFUMI E COSMETICI SRL",,NULL,NULL,,"VIA VEZZA D'OGLIO 7   20139 MILANO MI",,NULL,LVMHPROFUMIECOSMETICI@LEGALMAIL.IT,LVMHPROFUMIECOSMETICI@LEGALMAIL.IT,10
2262,"M.F. SRL",,NULL,NULL,,"C.SO ANTONIO GRAMSCI 79 
GENZANO DI ROMA 00045 RM",,NULL,M.FSRL@LEGALMAIL.IT,M.FSRL@LEGALMAIL.IT,10
2263,"MAGAZZINI GABRIELLI S.P.A.",,NULL,NULL,,,,NULL,MAGAZZINIGABRIELLI@PEC.TRUSTEDMAIL.INTESA.IT,MAGAZZINIGABRIELLI@PEC.TRUSTEDMAIL.INTESA.IT,12
2264,"MAGESTIC SRL",,NULL,NULL,,"VIA TIBERINA KM 19.3000
00065 FIANO ROMANO (RM)",,NULL,MAGESTIC@LEGALMAIL.IT,MAGESTIC@LEGALMAIL.IT,1
2265,"MAGLIONE S.R.L.",,Chieti,Chieti,66100,"VIA PADRE UGO FRASCA SNC",,,,maglionesrl@pec.it,16
2266,"MAIORANA MAGGIORINO S.P.A.",,Roma,Roma,8300173,"Via Bernardino Alimena 83",,,,maioranamaggiorino@legalmail.it,1
2267,"MAISON DU MONDE ITALIE S.R.L.",,NULL,NULL,,"Via Alessandro Volta, 8 
00054 Fiumicino (RM)",,NULL,mdmitalie@legalmail.it,mdmitalie@legalmail.it,10
2268,"MAMA SRL",,NULL,NULL,,"VIA TIBERINA KM 19.300, 00065
FIANO ROMANO",,NULL,mama1srl@legalmail.it,mama1srl@legalmail.it,10
2269,"MANGEST SRL",,NULL,NULL,,"VIA BRACCIANESE CLAUDIA 00066
MANZIANA (RM)",,NULL,MANGEST@PEC.IT,MANGEST@PEC.IT,10
2270,"MAPI ROMA S.R.L.",,NULL,NULL,,"VIA DELLE AZAVOLE 71  00169 ROMA",,NULL,MAPIROMASRL@LEGALMAIL.IT,MAPIROMASRL@LEGALMAIL.IT,10
2271,"MAPI S.R.L.",,NULL,NULL,,"VIA DELL'ARCIVESCOVADO 18
TORINO TO",,NULL,MAPISPA@LEGALMAIL.IT,MAPISPA@LEGALMAIL.IT,16
2272,"MARGHERITA DISTRIBUZIONE S.P.A.",,NULL,NULL,,"Strada 8 Palazzo N, sncFrazione Milanofiori20089 Rozzano (MI)",,,"auchan@pec.it ",auchan@pec.it,10
2273,"MARKET 4S S.R.L.",,NULL,NULL,,,,NULL,MARKET4SSRL@LEGALMAIL.IT,MARKET4SSRL@LEGALMAIL.IT,10
2274,"MARKET MANAGEMENT SRL",,NULL,NULL,,"VIA DEI FAGGELLA",,NULL,marketmanagement@legalmail.it,marketmanagement@legalmail.it,10
2275,"MARSH S.P.A.",,NULL,NULL,,,,NULL,marsh@cert.marsh.it,marsh@cert.marsh.it,10
2276,"MARTA STORE SRL",,NULL,NULL,,,,NULL,MARTASTORE@PECPVS.IT,MARTASTORE@PECPVS.IT,10
2277,"MARTE 2022 S.R.L.",,NULL,NULL,,"VIA LORENZO MAGALOTTI 15,
00197 ROMA",,NULL,marte2022.srl@legalmail.it,marte2022.srl@legalmail.it,10
2278,"MASTER CLEAN MULTISERVIZI SRL",,Frosinone,Frosinone,,,,,MASTERCLEAN@PEC.IT,MASTERCLEAN@PEC.IT,3
2279,"MAXIMA S.R.L.",,NULL,NULL,,,,NULL,personale.maxima@legalmail.it,personale.maxima@legalmail.it,10
2280,"MC DONALD'S DEVELOPMENT ITALY LLC",,Assago,Milano,"20090 ","Via del Bosco Rinnovato, 6 Edificio U7 - Milanofiori Nord",,"09499510155 ","NOPEC_PERMESSOSINDACALE
",payroll@pec.it.mcd.com,16
2281,"MDC FAST FOOD SRL",,NULL,NULL,,,,NULL,mdcfastfood@pec.it,mdcfastfood@pec.it,16
2282,"MEDAGLIE D'ORO MARKET SRL",,NULL,NULL,,"VIA IGINO LEGA 12 00189 ROMA RM",,NULL,medagliedoromarketsrl@pec.it,medagliedoromarketsrl@pec.it,10
2283,"MEDIAMARKET SPA",,NULL,NULL,,"Via Enrico Fermi, 4
24035 Curno (BG)",,NULL,mediamarket@mediamarket.telecompost.it,mediamarket@mediamarket.telecompost.it,1
2284,"MELITE ITALIA S.R.L.",,NULL,NULL,,,,NULL,,NULL,1
2285,"MERANESE SERVIZI S.P.A.",,NULL,NULL,,,,NULL,MERANESE.SERVIZI@CERT.CNA.IT,MERANESE.SERVIZI@CERT.CNA.IT,3
2286,"MERCATO SRL",,NULL,NULL,,"VIA FATEBENEFRATELLI,34
20121 MILANO (MI)",,NULL,MERCATO@PEC.IT,MERCATO@PEC.IT,16
2287,"MERCEDES BENZ FINANCIAL SERVICES",,NULL,NULL,,,,NULL,dcsf@legalmail.it,dcsf@legalmail.it,10
2288,"MERCEDES BENZ ITALIA S.P.A.",,NULL,NULL,,,,NULL,mbi@mercedesbenzitalia.postacert.it,mbi@mercedesbenzitalia.postacert.it,10
2289,"MERCEDES BENZ LEASE SRL (EX CHARTERWAY)",,NULL,NULL,,,,,,mbli@legalmail.it,10
2290,"AUTOTORINO S.P.A.",,Roma,Roma,000131,"Via Zoe Fontana, 22",0645144331,,,AUTOTORINO@PEC.IT,10
2291,"MERCURIO S.R.L.S.",,NULL,NULL,,,,NULL,MERCURIOSRLSUNIPERSONALE@PEC.IT,MERCURIOSRLSUNIPERSONALE@PEC.IT,3
2292,"METRO ITALIA CASH AND CARRY S.P.A.",,NULL,NULL,,,,,METROPEC@LEGALMAIL.IT,METROPEC@LEGALMAIL.IT,12
2293,"METROPOL SERVIZI DI SICUREZZA S.R.L.",,Frosinone,Frosinone,,"VIA MOLA DEI FRATI 14  03100 FROSINONE FR",,,METROPOLSRL@PEC.IT,METROPOLSRL@PEC.IT,17
2294,"MG S.R.L.S.",,NULL,NULL,,"V.LE AMERICA",,NULL,MGISRLS@GIGAPEC.IT,MGISRLS@GIGAPEC.IT,10
2295,"MIDALI SRL",,NULL,NULL,,"VIA FRATELLI BRONZETTI,23
20129 MILANO (MI)",,NULL,MIDALI.AMMINISTRAZIONE@PEC.IT,MIDALI.AMMINISTRAZIONE@PEC.IT,1
2296,"MIKI TRAVEL AGENCY ITALIA S.R.L.",,NULL,NULL,,"CORSO D'ITALIA 39/A 
00198 ROMA",0684572450,NULL,mikitravel.agencyitalia@legalmail.it,mikitravel.agencyitalia@legalmail.it,2
2297,"MINORCA S.R.L.",,NULL,NULL,,"VIA TIBERINA KM 19.300
FIANO ROMANO (RM)",,NULL,minorcasrl@legalmail.it,minorcasrl@legalmail.it,10
2298,"MIROGLIO FASHION S.R.L.",,NULL,NULL,,"Via S. Margherita, 2312051 - Alba (CN)",,,,mirogliofashion@pec.miroglio.com,1
2299,"MKT S.R.L.S.",,NULL,NULL,,"VIALE MANNELLI 5   TIVOLI",,NULL,MKTSRLS@LEGALMAIL.IT,MKTSRLS@LEGALMAIL.IT,18
2300,"MONDADORI RETAIL SPA",,NULL,NULL,,"Via Bianca di Savoia, 12
20122 Milano (MI)",,NULL,mondadoriretail@pec.mondadori.it,mondadoriretail@pec.mondadori.it,1
2301,"VEDETTA 2 MONDIALPOL S.P.A.",,Como,Como,22100,"Via Scalabrini 76 ",,,AMMINISTRAZIONE.CO@PEC.MONDIALPOL.IT,AMMINISTRAZIONE.CO@PEC.MONDIALPOL.IT,17
2302,"MONEYGRAM INTERNATIONAL S.P.R.L.",,NULL,NULL,,"VIA BOMBAY 5, 00144 ROMA (RM)",06931851,NULL,moneygram@legalmail.it,moneygram@legalmail.it,10
2303,"MONTECARLO IMMOBILIARE SPA",,NULL,NULL,,,,NULL,montecarlospaimmobiliare@dadapec.com,montecarlospaimmobiliare@dadapec.com,8
2304,"MOTORCITY S.R.L.",,NULL,NULL,,,,NULL,MOTORCITY.G.MONTEFUSCO@UNICERT.IT,MOTORCITY.G.MONTEFUSCO@UNICERT.IT,10
2305,"MR GB S.r.l.",,NULL,NULL,,"VIA UMBERTO I, 13/A
00030 COLONNA (RM)",,NULL,MRGBSRL@LEGALMAIL.IT,MRGBSRL@LEGALMAIL.IT,16
2306,"MULTISERVICE GROUP SOC.COOP.",,NULL,NULL,,"VIA DEVITOFRANCESCO 2/I
70124 BARI (BA)",,NULL,MSG@MYPEC.EU,MSG@MYPEC.EU,18
2307,"MULTISERVIZI DEI CASTELLI DI MARINO S.P.A.",,NULL,NULL,,,,NULL,direttore@pec.multiservizimarino.it,direttore@pec.multiservizimarino.it,11
2308,"MULTISERVIZI DEI CASTELLI DI MARINO S.P.A. - P.ESERCIZI",,NULL,NULL,,,,,direttore@pec.multiservizimarino.it,direttore@pec.multiservizimarino.it,13
2309,"MUTUA MBA",,NULL,NULL,,,,,MBAMUTUA@LEGALMAIL.IT,MBAMUTUA@LEGALMAIL.IT,10
2310,"MYCHEF RISTORAZIONE COMMERCIALE SPA",,NULL,NULL,,,,NULL,MYCHEF@PEC.IT,MYCHEF@PEC.IT,16
2311,"NAIL ONE Srl",,NULL,NULL,,"via Amsterdam 130 
00144 Roma",,NULL,nailone@legalmail.it,nailone@legalmail.it,18
2312,"NAPOLIONES S.R.L.",,NULL,NULL,,"LUNGOTEVERE DE' CENCI, 9
00186 ROMA (RM)",,NULL,napoliones@pec.it,napoliones@pec.it,10
2313,"NATIONAL SERVICE (Civitavecchia)",,NULL,NULL,,,,NULL,,NULL,15
2314,"NATIONAL SERVICES SRL",,NULL,NULL,,"Via Angelo Bargoni, 800153 Roma (RM)",06854561,,nationalservicesgroup@pec.it,nationalservicesgroup@pec.it,15
2315,"NATUNA SRL",,NULL,NULL,,,,,DIREZIONE.GENERALE@PEC.NATUNA.IT,DIREZIONE.GENERALE@PEC.NATUNA.IT,15
2316,"NESPRESSO ITALIANA S.P.A.",,NULL,NULL,,,,NULL,nespresso@nespresso.telecompost.it,nespresso@nespresso.telecompost.it,10
2317,"NEW AIR CLEAN S.R.L.S.",,NULL,NULL,,"V.LE GIUSEPPE MAZZINI 112
00195 ROMA RM",,NULL,NEWAIRCLEAN@PEC.IT,NEWAIRCLEAN@PEC.IT,3
2318,"NEW GENERATION SERVICE S.R.L.",,Roma,Roma,,,,,N.G.S.SRL@PEC.IT,N.G.S.SRL@PEC.IT,15
2319,"NEW MARKET S.R.L.",,NULL,NULL,,"VIA ZOE FONTANA 220
00139 ROMA RM",,NULL,newmarketsrl@legalmail.it,newmarketsrl@legalmail.it,10
2320,"NEW SPECCHIO SOC. COOP.",,NULL,NULL,,"VIA GIOVANNI BONELLI    00128 ROMA RM",,NULL,COOPNEWSPECCHIO@LEGALMAIL.IT,COOPNEWSPECCHIO@LEGALMAIL.IT,3
2321,"NEXUM STP S.P.A.",,NULL,NULL,,"Via Nairobi, 40
00144 Roma (RM)",,NULL,szstp@lamiapec.it,szstp@lamiapec.it,1
2322,"NH ITALIA SPA",,NULL,NULL,,,,NULL,nhitalia@legalmail.it,nhitalia@legalmail.it,8
2323,"NORDEST SERVIZI S.R.L.",,NULL,NULL,,,,NULL,AMMINISTRAZIONE@PEC.SERVIZINORDEST.EU,AMMINISTRAZIONE@PEC.SERVIZINORDEST.EU,3
2324,"NORDOVEST INSIEME S.R.L.",,NULL,NULL,,"VIA AROLA 55 CASAL DEL MARMO RM",,NULL,tirrenoinsieme@pecpvs.it,tirrenoinsieme@pecpvs.it,12
2325,"NORDOVEST INSIEME S.R.L. (Civitavecchia)",,NULL,NULL,,,,NULL,,NULL,12
2326,"NOVOMATIC ITALIA S.P.A.",,NULL,NULL,,"Via Galla Placidia,247922 Rimini",,,nispa@postaleg.it,nispa@postaleg.it,1
2327,"NUOVA SIDAP (raccordo)",,NULL,NULL,,,,,,oil.nuovasidap@legalmail.it,16
2328,"NUOVA SIDAP SRL",,NULL,NULL,,,,,,oil.nuovasidap@legalmail.it,16
2329,"NUOVARREDO S.R.L.",,NULL,NULL,,"VIA DI BOCCEA 684  00166 ROMA RM",,NULL,NUOVARREDO.SRL@PEC.IT,NUOVARREDO.SRL@PEC.IT,10
2330,"OPEN SERVICE S.R.L.",,NULL,NULL,,"VIA VENIER 5 320020 MARCON VE",,NULL,OPENSERVICE@PEC.IT,OPENSERVICE@PEC.IT,3
2331,"OPERA NAZIONALE MONTESSORI",,NULL,NULL,,"VIA SAN GALLICANO 7
00153 ROMA (RM)",,NULL,operanazionalemontessori@pec.it,operanazionalemontessori@pec.it,10
2332,"OPERA NAZIONALE PER LA CITTA' DEI RAGAZZI",,NULL,NULL,,"L.go Citta' dei Ragazzi, 100163 Roma (RM)",,,,amministrazione-oncr@pec.it,1
2333,"OPERBINGO ITALIA SPA",,Roma,Roma,00166,"Via Cornelia, 498",,,,risorse.umane@pec.codere.com,16
2334,"ORIGINAL MARINES S.P.A.",,NULL,NULL,,,,NULL,IMAPEXPORTSPA@LEGALMAIL.IT,IMAPEXPORTSPA@LEGALMAIL.IT,10
2335,"OUTSOURCE NOW S.R.L.",,NULL,NULL,,"VIA RODOLFO LANCIANI 69",,NULL,OUTSOURCENOW@LEGALMAIL.IT,OUTSOURCENOW@LEGALMAIL.IT,8
2336,"OVS S.P.A.",,NULL,NULL,,"Venezia (VE) Via Terraglio 17",,,ovs@pec.ovs.it,ovs@pec.ovs.it,10
2337,"P.STOP SRL",,NULL,NULL,,,,NULL,P.STOP-SRL@PEC.IT,P.STOP-SRL@PEC.IT,10
2338,"PAC 2000 SOC. COOPERATIVA",,NULL,NULL,,,,NULL,PAC2000A@ACTALISCERTYMAIL.IT,PAC2000A@ACTALISCERTYMAIL.IT,10
2339,"PACE S.R.L.",,NULL,NULL,,"VIA MONTE DEL GALLO 113
00165 ROMA (RM)",,NULL,AMMINISTRAZIONE@PEC.HOTELCASATRANOI.COM,AMMINISTRAZIONE@PEC.HOTELCASATRANOI.COM,8
2340,"PAGANINI ROMA SRL",,NULL,NULL,,"VIA TIBURTINA VALERIA KM 20     00019 GUIDONIA MONTECELIO (RM)",,NULL,PAGANINIROMASRL@LEGALMAIL.IT,PAGANINIROMASRL@LEGALMAIL.IT,1
2341,"PALOMBINI EUR",,NULL,NULL,,,,NULL,PALOMBINI@PEC.IT,PALOMBINI@PEC.IT,16
2342,"PALOMBINI RICEVIMENTI SRL",,NULL,NULL,,,,NULL,palombini.ricevimenti@pec.it,palombini.ricevimenti@pec.it,16
2343,"PAM PANORAMA SPA",,Spinea,Venezia,30038,"Via delle Industrie, 8",,,,pampanorama@pec.gruppopam.it,10
2344,"PANAPESCA S.P.A",,NULL,NULL,,,,NULL,CONTABILITA@PANAPESCA.LEGALMAIL.IT,CONTABILITA@PANAPESCA.LEGALMAIL.IT,10
2345,"PANIFICIO NUR SRL",,NULL,NULL,,"VIA TRINCEA DELLE FRASCHE",,NULL,PANIFICIONURSRL@PEC.IT,PANIFICIONURSRL@PEC.IT,10
2346,"PAPALINI S.P.A.",,NULL,NULL,,"Via Paolo Borsellino 9
61032 Fano (PU)",072186032,NULL,PAPALINISPA@LEGALMAIL.IT,PAPALINISPA@LEGALMAIL.IT,3
2347,"PARCHEGGIARE S.R.L.",,NULL,NULL,,"VIA FABIO FILZI 2
MILANO 20124 MI",0331073400,NULL,parcheggiare@legalmail.it,parcheggiare@legalmail.it,16
2348,"PARIOLI TRAVEL SERVICE S.r.l.",,NULL,NULL,,"VIA NIZZA, 45
00198 ROMA (RM)",,NULL,pts@certificazioneposta.it,pts@certificazioneposta.it,10
2349,"PARK HOTEL VILLA GRAZIOLI S.R.L.",,NULL,NULL,,,,NULL,parkhotelvillagrazioli@legalmail.it,parkhotelvillagrazioli@legalmail.it,8
2350,"PARR CREDIT (WHITESTAR S.R.L.)",,NULL,NULL,,"VIA PIEVE TORINA 44/46 A 00156 ROMA RM",,NULL,pec@pec.whitestar-as.it,pec@pec.whitestar-as.it,10
2351,"PARTITO DEMOCRATICO",,NULL,NULL,,"VIA S. ANDREA DELLE FRATTE
00187 ROMA RM",,NULL,segretaria@partitodemocratico.it,segretaria@partitodemocratico.it,10
2352,"PATRIMI ITALIA SRL",,NULL,NULL,,,,NULL,PATRIMIITALIASRL@LEGALMAIL.IT,PATRIMIITALIASRL@LEGALMAIL.IT,10
2353,"PAYMENT SERV.LIMITED - AMERICAN EXPRESS",,NULL,NULL,,,,NULL,,NULL,10
2354,"PC CUBE S.R.L.",,NULL,NULL,,"VIA BARBERINI 29
00187 ROMA (RM)",,NULL,POSTACERT@PEC.PCCUBE.COM,POSTACERT@PEC.PCCUBE.COM,10
2355,"PEDEVILLA  SPA",,NULL,NULL,,"Via della Fonte Meravigliosa, 74/76
00143 Roma (RM)",,NULL,pedevillaspa@legalmail.it,pedevillaspa@legalmail.it,13
2356,"PEGASO 97 SRL",,NULL,NULL,,"VIA DI TORRE ARGENTINA 47 ROMA (RM) 00186",,NULL,PEGASO.97@LEGALMAIL.IT,PEGASO.97@LEGALMAIL.IT,16
2357,"PEGASO SECURITY S.P.A.",,Rende,Cosenza,87036,"VIA FABIO ROSSI, 92","800 831 838",08061680727,PEGASOSECURITYSPA@PECIMPRESE.IT,PEGASOSECURITYSPA@PECIMPRESE.IT,17
2358,"PELLEGRINI S.p.A. (Santa Marinella)",,NULL,NULL,,,,NULL,,NULL,13
2359,"PELLEGRINI SPA",,NULL,NULL,,"Via Abbondio San Giorgio,
20145 Milano",,NULL,segreteria.presidenza@pec.gruppopellegrini.it,segreteria.presidenza@pec.gruppopellegrini.it,13
2360,"PENNY MARKET ITALIA S.R.L.",,NULL,NULL,,"VIA   PRENESTINA   890   00155   (RM)",,,,POSTACERT-BILLA@PEC.IT,12
2361,"PERRIGO ITALIA S.R.L.",,NULL,NULL,,,,NULL,direzioneperrigo@pec-legal.it,direzioneperrigo@pec-legal.it,1
2362,"MM CASAL BERTONE S.R.L.",,Roma,Roma,,,,,,MMCASALBERTONESRL@LEGALMAIL.IT,12
2363,"PIEMME S.P.A. - CONCESSIONARIA DI PUBBLICITA' ",,Roma,Roma,00191,"C.SO DI FRANCIA 200",,,,piemmespa@pec.piemmeonline.it,10
2364,"PLANET GAME 2001 S.R.L.",,NULL,NULL,,"VIA DELLE GINESTRE 5
80077 ISCHIA (NA)",,NULL,A.BRANDI@CONSULENTIDELLAVOROPEC.IT,A.BRANDI@CONSULENTIDELLAVOROPEC.IT,10
2365,"POLIZIOTTO NOTTURNO S.R.L.",,NULL,NULL,,,,NULL,POLIZIOTTONOTTURNO@CASELLACERTIFICATA.IT,POLIZIOTTONOTTURNO@CASELLACERTIFICATA.IT,17
2366,"PONTIFICIO ATENEO SALESIANO",,NULL,NULL,,,,NULL,BARDUCA@UNISAL.IT,BARDUCA@UNISAL.IT,18
2367,"PORT AUTHORITY SECURITY SRL",,NULL,NULL,,"CIVITAVECCHIA   (ITALIA)  LOCALITA' IL SARACENO   SNC   00053   (RM)",,,portauthoritysecurity@pec.it,portauthoritysecurity@pec.it,17
2368,"PORTO TURISTICO TRAIANO CIVITAVECCHIA",,Civitavecchia,Roma,,"VIA AURELIA S.S. 1 - KM. 67,580 CIVITAVECCHIA (RM) 00053 Telefono :   07665052",,,rivaditraiano@pec.it,rivaditraiano@pec.it,17
2369,"POWER I.S. & I. SRLS",,NULL,NULL,,"VIA LAURENTINA 203  00142 ROMA RM",,NULL,POWER.ISI@LAMIAPEC.IT,POWER.ISI@LAMIAPEC.IT,10
2370,"PRENATAL SPA",,NULL,NULL,,"Via delle Primule 5
20815 Cogliate (MB)",,NULL,legale@pec.prenatal.com,legale@pec.prenatal.com,10
2371,"PRESTIGE S.R.L.",,NULL,NULL,,"P.ZZA TEATRO SAN FERDINANDO 8
80139 NAPOLI",,NULL,PRESTIGESRL@GIGAPEC.IT,PRESTIGESRL@GIGAPEC.IT,17
2372,"PRESTITO 24 S.R.L.",,NULL,NULL,,"VIA GUIDO ZANOBINI 50",,NULL,prestito24@pec.prestito24.it,prestito24@pec.prestito24.it,10
2373,"PRICEWATERHOUSECOOPERS SERVICES SRL",,NULL,NULL,,,,NULL,res-company@pec.it,res-company@pec.it,1
2374,"PRIMADONNA S.P.A.",,NULL,NULL,,"PARCO COMMERCIALE BARESE 231
70032 BITONTO (BA)",,NULL,primadonnacollection@pec.it,primadonnacollection@pec.it,10
2375,"PRIME FOR YOU SRL",,NULL,NULL,,,,NULL,marco.fasciani@pec.it,marco.fasciani@pec.it,16
2376,"PRIMIZIA S.R.L.",,NULL,NULL,,,,NULL,primiziasrl2020@legalmail.it,primiziasrl2020@legalmail.it,10
2377,"PROGETTO DONNA PIU'",,NULL,NULL,,,,NULL,PROGETTODONNAPIU@LEGALMAIL.IT,PROGETTODONNAPIU@LEGALMAIL.IT,18
